,lost_production,actual_production,availability
2016-02-17 00:00:00+00:00,,0.0,
2016-02-18 00:00:00+00:00,0.0,215531.83008312288,1.0
2016-02-19 00:00:00+00:00,0.0,134189.46476325754,1.0
2016-02-20 00:00:00+00:00,0.0,59245.8840012101,1.0
2016-02-21 00:00:00+00:00,0.0,40254.03452546295,1.0
2016-02-22 00:00:00+00:00,0.0,33318.13122612343,1.0
2016-02-23 00:00:00+00:00,214.66821732032827,68562.09021176636,0.9968787680282771
2016-02-24 00:00:00+00:00,0.0,130071.70809738,1.0
2016-02-25 00:00:00+00:00,0.0,196750.52271727694,1.0
2016-02-26 00:00:00+00:00,0.0,230719.93929529656,1.0
2016-02-27 00:00:00+00:00,0.0,227788.92145096813,1.0
2016-02-28 00:00:00+00:00,0.0,214346.6339785878,1.0
2016-02-29 00:00:00+00:00,0.0,168286.8693009962,1.0
2016-03-01 00:00:00+00:00,0.0,190873.2031708574,1.0
2016-03-02 00:00:00+00:00,0.0,153874.42116556177,1.0
2016-03-03 00:00:00+00:00,0.0,144137.54054372106,1.0
2016-03-04 00:00:00+00:00,0.0,212242.52063341765,1.0
2016-03-05 00:00:00+00:00,0.0,230947.80273227114,1.0
2016-03-06 00:00:00+00:00,0.0,222210.31542297965,1.0
2016-03-07 00:00:00+00:00,0.0,198695.99034380214,1.0
2016-03-08 00:00:00+00:00,0.0,190199.8845012635,1.0
2016-03-09 00:00:00+00:00,0.0,182670.55931318458,1.0
2016-03-10 00:00:00+00:00,0.0,155164.81800925918,1.0
2016-03-11 00:00:00+00:00,0.0,143609.911740846,1.0
2016-03-12 00:00:00+00:00,0.0,139607.6970904083,1.0
2016-03-13 00:00:00+00:00,0.0,140499.19792582095,1.0
2016-03-14 00:00:00+00:00,0.0,129351.49737047218,1.0
2016-03-15 00:00:00+00:00,0.0,135988.32413646393,1.0
2016-03-16 00:00:00+00:00,0.0,95416.9537234325,1.0
2016-03-17 00:00:00+00:00,0.0,41183.669019614346,1.0
2016-03-18 00:00:00+00:00,0.0,96845.86230564304,1.0
2016-03-19 00:00:00+00:00,0.0,65493.58494816627,1.0
2016-03-20 00:00:00+00:00,0.0,98480.46169178188,1.0
2016-03-21 00:00:00+00:00,3067.9890257775182,105542.11059732642,0.9717522676397132
2016-03-22 00:00:00+00:00,5125.501196137066,102778.09738005139,0.9524992561529998
2016-03-23 00:00:00+00:00,4223.79480692546,79088.71330829617,0.9493017927021963
2016-03-24 00:00:00+00:00,2311.8752796135213,91390.37073216122,0.9753274294052353
2016-03-25 00:00:00+00:00,1660.5659404013627,19310.59216524195,0.9208166791725962
2016-03-26 00:00:00+00:00,285.9226902880636,10725.607277367264,0.9740342449116592
2016-03-27 00:00:00+00:00,440.2527926222966,86789.66498100664,0.9949529610498453
2016-03-28 00:00:00+00:00,4170.508395979104,230909.41686559096,0.9822591895444128
2016-03-29 00:00:00+00:00,1122.0654772736111,231992.81536406465,0.995186641568209
2016-03-30 00:00:00+00:00,0.0,146933.376172401,1.0
2016-03-31 00:00:00+00:00,0.0,68065.44631313067,1.0
2016-04-01 00:00:00+00:00,0.0,161598.29243686795,1.0
2016-04-02 00:00:00+00:00,0.0,249884.0674273111,1.0
2016-04-03 00:00:00+00:00,0.0,247790.64426829014,1.0
2016-04-04 00:00:00+00:00,0.0,248163.47624868527,1.0
2016-04-05 00:00:00+00:00,0.0,206835.37499022577,1.0
2016-04-06 00:00:00+00:00,493.7368967791046,195930.70304718055,0.9974863774746159
2016-04-07 00:00:00+00:00,0.0,219365.61977430806,1.0
2016-04-08 00:00:00+00:00,0.0,240859.28502630442,1.0
2016-04-09 00:00:00+00:00,0.0,200851.32805160992,1.0
2016-04-10 00:00:00+00:00,0.0,147556.89846459217,1.0
2016-04-11 00:00:00+00:00,0.0,159427.3000051733,1.0
2016-04-12 00:00:00+00:00,3.726569914634328,140602.82424920797,0.999973496470165
2016-04-13 00:00:00+00:00,0.0,136783.62071496062,1.0
2016-04-14 00:00:00+00:00,0.0,168206.40348195843,1.0
2016-04-15 00:00:00+00:00,0.0,216376.07209070027,1.0
2016-04-16 00:00:00+00:00,0.0,249353.94048821554,1.0
2016-04-17 00:00:00+00:00,0.0,246627.88988820463,1.0
