System nameplate capacity (kWdc),Analysis period (years),NPV Net present value ($)
6,2,-369.186
6.1,2,-377.725
6.2,2,-386.884
6.3,2,-396.044
6.4,2,-405.203
6.5,2,-414.362
6.6,2,-423.521
6.7,2,-432.681
6.8,2,-441.84
6.9,2,-450.999
7,2,-460.158
7.1,2,-469.318
7.2,2,-478.477
7.3,2,-487.636
7.4,2,-507.105
7.5,2,-540.047
7.6,2,-572.99
2.4,3,207.403
2.5,3,216.045
2.6,3,224.686
2.7,3,233.328
2.8,3,241.97
2.9,3,250.612
3,3,259.254
3.1,3,267.895
3.2,3,276.537
3.3,3,285.179
3.4,3,293.821
3.5,3,302.462
3.6,3,311.104
3.7,3,319.746
3.8,3,328.388
3.9,3,337.03
4,3,345.671
4.1,3,354.313
4.2,3,362.955
4.3,3,371.597
4.4,3,380.239
4.5,3,388.88
4.6,3,397.522
4.7,3,406.164
4.8,3,414.806
4.9,3,423.447
5,3,432.089
5.1,3,440.731
5.2,3,449.373
5.3,3,458.015
5.4,3,466.656
5.5,3,475.298
5.6,3,483.94
5.7,3,492.582
5.8,3,501.224
5.9,3,509.865
6,3,518.507
6.1,3,524.308
6.2,3,528.586
6.3,3,532.863
6.4,3,537.14
6.5,3,541.417
6.6,3,545.694
6.7,3,549.971
6.8,3,554.248
6.9,3,558.526
7,3,562.803
7.1,3,567.08
7.2,3,571.357
7.3,3,575.634
7.4,3,569.602
7.5,3,540.721
7.6,3,510.467
2.4,4,539.191
2.5,4,561.657
2.6,4,584.123
2.7,4,606.589
2.8,4,629.056
2.9,4,651.522
3,4,673.988
3.1,4,696.454
3.2,4,718.921
3.3,4,741.387
3.4,4,763.853
3.5,4,786.32
3.6,4,808.786
3.7,4,831.252
3.8,4,853.718
3.9,4,876.185
4,4,898.651
4.1,4,921.117
4.2,4,943.583
4.3,4,966.05
4.4,4,988.516
4.5,4,1010.98
4.6,4,1033.45
4.7,4,1055.91
4.8,4,1078.38
4.9,4,1100.85
5,4,1123.31
5.1,4,1145.78
5.2,4,1168.25
5.3,4,1190.71
5.4,4,1213.18
5.5,4,1235.65
5.6,4,1258.11
5.7,4,1280.58
5.8,4,1303.04
5.9,4,1325.51
6,4,1347.98
6.1,4,1367.56
6.2,4,1384.4
6.3,4,1401.23
6.4,4,1418.06
6.5,4,1434.89
6.6,4,1451.72
6.7,4,1468.55
6.8,4,1485.38
6.9,4,1502.21
7,4,1519.05
7.1,4,1535.88
7.2,4,1552.71
7.3,4,1569.54
7.4,4,1576.06
7.5,4,1554.71
7.6,4,1526.96
2.4,5,849.215
2.5,5,884.599
2.6,5,919.983
2.7,5,955.367
2.8,5,990.751
2.9,5,1026.13
3,5,1061.52
3.1,5,1096.9
3.2,5,1132.29
3.3,5,1167.67
3.4,5,1203.05
3.5,5,1238.44
3.6,5,1273.82
3.7,5,1309.21
3.8,5,1344.59
3.9,5,1379.97
4,5,1415.36
4.1,5,1450.74
4.2,5,1486.13
4.3,5,1521.51
4.4,5,1556.89
4.5,5,1592.28
4.6,5,1627.66
4.7,5,1663.05
4.8,5,1698.43
4.9,5,1733.81
5,5,1769.2
5.1,5,1804.58
5.2,5,1839.97
5.3,5,1875.35
5.4,5,1910.73
5.5,5,1946.12
5.6,5,1981.5
5.7,5,2016.89
5.8,5,2052.27
5.9,5,2087.65
6,5,2123.04
6.1,5,2155.54
6.2,5,2184.43
6.3,5,2212.99
6.4,5,2241.55
6.5,5,2270.12
6.6,5,2298.68
6.7,5,2327.24
6.8,5,2355.8
6.9,5,2384.36
7,5,2412.92
7.1,5,2441.48
7.2,5,2470.04
7.3,5,2498.6
7.4,5,2516.85
7.5,5,2506.06
7.6,5,2480.64
2.4,6,1138.9
2.5,6,1186.36
2.6,6,1233.81
2.7,6,1281.26
2.8,6,1328.72
2.9,6,1376.17
3,6,1423.63
3.1,6,1471.08
3.2,6,1518.54
3.3,6,1565.99
3.4,6,1613.44
3.5,6,1660.9
3.6,6,1708.35
3.7,6,1755.81
3.8,6,1803.26
3.9,6,1850.72
4,6,1898.17
4.1,6,1945.62
4.2,6,1993.08
4.3,6,2040.53
4.4,6,2087.99
