Cost ($/Wdc),Years,NPV,Simple Payback,Total Installed Cost
1.5,6,-3366.76,NaN,7950
1.6,6,-3896.76,NaN,8480
1.7,6,-4426.76,NaN,9010
1.8,6,-4956.76,NaN,9540
1.9,6,-5486.76,NaN,10070
2,6,-6016.76,NaN,10600
0.1,7,4651.62,0.540565,530
0.2,7,4121.62,1.07961,1060
0.3,7,3591.62,1.61006,1590
0.4,7,3061.62,2.13787,2120
0.5,7,2531.62,2.65839,2650
0.6,7,2001.62,3.17556,3180
0.7,7,1471.62,3.68634,3710
0.8,7,941.625,4.19343,4240
0.9,7,411.625,4.69465,4770
1,7,-118.375,5.19221,5300
1.1,7,-648.375,5.68406,5830
1.2,7,-1178.38,NaN,6360
1.3,7,-1708.38,NaN,6890
1.4,7,-2238.38,NaN,7420
1.5,7,-2768.38,NaN,7950
1.6,7,-3298.38,NaN,8480
1.7,7,-3828.38,NaN,9010
1.8,7,-4358.38,NaN,9540
1.9,7,-4888.38,NaN,10070
2,7,-5418.38,NaN,10600
0.1,8,5210.76,0.540565,530
0.2,8,4680.76,1.07961,1060
0.3,8,4150.76,1.61006,1590
0.4,8,3620.76,2.13787,2120
0.5,8,3090.76,2.65839,2650
0.6,8,2560.76,3.17556,3180
0.7,8,2030.76,3.68634,3710
0.8,8,1500.76,4.19343,4240
0.9,8,970.755,4.69465,4770
1,8,440.755,5.19221,5300
1.1,8,-89.2449,5.68406,5830
1.2,8,-619.245,6.17262,6360
1.3,8,-1149.24,6.65527,6890
1.4,8,-1679.24,NaN,7420
1.5,8,-2209.24,NaN,7950
1.6,8,-2739.24,NaN,8480
1.7,8,-3269.24,NaN,9010
1.8,8,-3799.24,NaN,9540
1.9,8,-4329.24,NaN,10070
2,8,-4859.24,NaN,10600
0.1,9,5733.2,0.540565,530
0.2,9,5203.2,1.07961,1060
0.3,9,4673.2,1.61006,1590
0.4,9,4143.2,2.13787,2120
0.5,9,3613.2,2.65839,2650
0.6,9,3083.2,3.17556,3180
0.7,9,2553.2,3.68634,3710
0.8,9,2023.2,4.19343,4240
0.9,9,1493.2,4.69465,4770
1,9,963.2,5.19221,5300
1.1,9,433.2,5.68406,5830
1.2,9,-96.7996,6.17262,6360
1.3,9,-626.8,6.65527,6890
1.4,9,-1156.8,7.13534,7420
1.5,9,-1686.8,7.60897,7950
1.6,9,-2216.8,NaN,8480
1.7,9,-2746.8,NaN,9010
1.8,9,-3276.8,NaN,9540
1.9,9,-3806.8,NaN,10070
2,9,-4336.8,NaN,10600
0.1,10,6221.37,0.540565,530
0.2,10,5691.37,1.07961,1060
0.3,10,5161.37,1.61006,1590
0.4,10,4631.37,2.13787,2120
0.5,10,4101.37,2.65839,2650
0.6,10,3571.37,3.17556,3180
0.7,10,3041.37,3.68634,3710
0.8,10,2511.37,4.19343,4240
0.9,10,1981.37,4.69465,4770
1,10,1451.37,5.19221,5300
1.1,10,921.365,5.68406,5830
1.2,10,391.365,6.17262,6360
1.3,10,-138.635,6.65527,6890
1.4,10,-668.635,7.13534,7420
1.5,10,-1198.63,7.60897,7950
1.6,10,-1728.63,8.08106,8480
1.7,10,-2258.63,8.54584,9010
1.8,10,-2788.63,NaN,9540
1.9,10,-3318.63,NaN,10070
2,10,-3848.63,NaN,10600
0.1,11,6677.5,0.540565,530
0.2,11,6147.5,1.07961,1060
0.3,11,5617.5,1.61006,1590
0.4,11,5087.5,2.13787,2120
0.5,11,4557.5,2.65839,2650
0.6,11,4027.5,3.17556,3180
0.7,11,3497.5,3.68634,3710
0.8,11,2967.5,4.19343,4240
0.9,11,2437.5,4.69465,4770
1,11,1907.5,5.19221,5300
1.1,11,1377.5,5.68406,5830
1.2,11,847.497,6.17262,6360
1.3,11,317.497,6.65527,6890
1.4,11,-212.503,7.13534,7420
1.5,11,-742.503,7.60897,7950
1.6,11,-1272.5,8.08106,8480
1.7,11,-1802.5,8.54584,9010
1.8,11,-2332.5,9.01042,9540
1.9,11,-2862.5,9.46651,10070
2,11,-3392.5,9.9226,10600
0.1,12,7103.69,0.540565,530
0.2,12,6573.69,1.07961,1060
0.3,12,6043.69,1.61006,1590
0.4,12,5513.69,2.13787,2120
0.5,12,4983.69,2.65839,2650
0.6,12,4453.69,3.17556,3180
0.7,12,3923.69,3.68634,3710
0.8,12,3393.69,4.19343,4240
0.9,12,2863.69,4.69465,4770
1,12,2333.69,5.19221,5300
1.1,12,1803.69,5.68406,5830
1.2,12,1273.69,6.17262,6360
1.3,12,743.695,6.65527,6890
1.4,12,213.695,7.13534,7420
1.5,12,-316.305,7.60897,7950
1.6,12,-846.305,8.08106,8480
1.7,12,-1376.31,8.54584,9010
1.8,12,-1906.31,9.01042,9540
1.9,12,-2436.31,9.46651,10070
